step,episode_index,episode_return,episode_length,fps,model_loss,recon_loss,reward_loss,continue_loss,kl_loss,dynamics_kl_loss,representation_kl_loss,actor_loss,value_loss,repval_loss,slowreg_loss,imagined_return,value_pred,return_norm_mean,return_norm_std,adv_norm_mean,adv_norm_std,entropy,num_updates,train_budget
2200.0,4.0,0.0,200.0,6.637052082100914,1.7833740711212158,0.001032643485814333,0.6822552680969238,8.61297594383359e-05,1.0,1.0,1.0,46.89136505126953,5.5704193115234375,4.391321659088135,0.0010739974677562714,21.36717414855957,21.624094009399414,21.324723907545,0.19828015793634235,0.14121650837397878,0.2029748995736067,2.7382938861846924,1.0,0.0
2400.0,4.0,11.0,400.0,6.265896090094142,2.07852840423584,0.0010508322156965733,0.9767131209373474,0.0001690456410869956,1.0005412101745605,1.0005412101745605,1.0005412101745605,-0.2090538591146469,4.182511329650879,4.37560510635376,0.0010778405703604221,20.94874382019043,21.157236099243164,21.223644490531218,0.2156365760018453,-0.04707857102864328,0.21420960990522966,2.8378727436065674,1.0,0.0
2500.0,4.0,31.0,500.0,6.10468504850947,2.1484930515289307,0.0009942603064700961,1.0446622371673584,0.00022592558525502682,1.002373218536377,1.002373218536377,1.002373218536377,-0.20964504778385162,4.137307167053223,4.56432580947876,0.002353748306632042,20.58045196533203,20.895915985107422,21.039273817058508,0.21196030355304282,-0.08294024594163682,0.2085365184181427,2.8378729820251465,1.0,0.0
2600.0,5.0,8.0,100.0,5.936071198184191,1.901950716972351,0.0010165044805034995,0.8007360696792603,0.00019811323727481067,1.0,1.0,1.0,-0.15914422273635864,3.899153470993042,4.3271684646606445,0.005237278062850237,20.149267196655273,20.4370174407959,20.715912651035403,0.20927389938661795,-0.10659033135124317,0.20535633750739457,2.83787202835083,1.0,0.0
2800.0,5.0,31.0,300.0,5.708934911144748,1.8463854789733887,0.0009598794858902693,0.6302851438522339,0.0002852625912055373,1.1044138669967651,1.1044138669967651,1.1044138669967651,-2.6749539375305176,4.924811363220215,3.6989917755126953,0.008351658470928669,19.20278549194336,19.116586685180664,19.411555240639117,0.2546446680033737,-0.12083284157078526,0.2305327941658357,2.83785343170166,1.0,0.0
3000.0,5.0,31.0,500.0,5.504815910045427,1.8037500381469727,0.0009747036965563893,0.7026370763778687,0.00013816775754094124,1.0,1.0,1.0,1.5390833616256714,3.257847785949707,4.128792762756348,0.00685192970559001,22.482492446899414,22.223804473876953,21.48151199340771,0.29074313560808057,0.2971044865504665,0.35262498121152797,2.30062198638916,1.0,0.0
3200.0,6.0,0.0,200.0,5.3427276916862585,1.6282854080200195,0.0009087990620173514,0.527347207069397,2.940190643130336e-05,1.0,1.0,1.0,33.177947998046875,4.183700084686279,3.2036914825439453,0.007032523863017559,21.71166229248047,22.1494197845459,22.232613831585688,0.2665114466762612,-0.0064970806462613835,0.3027682719399318,2.806224822998047,1.0,0.0
3400.0,6.0,0.0,400.0,5.212479428699741,1.6990805864334106,0.0009041799930855632,0.598163366317749,1.2987260561203584e-05,1.0,1.0,1.0,1.4293915033340454,2.503328800201416,2.666171073913574,0.01846926286816597,17.363492965698242,17.6684627532959,19.38918306323738,0.44696665697999993,-0.28902951160913165,0.490749095540249,2.3454880714416504,1.0,0.0
3500.0,6.0,0.0,500.0,5.144760022484858,1.6354069709777832,0.0007990492740646005,0.5315641760826111,2.7726859116228297e-05,1.0027416944503784,1.0027416944503784,1.0027416944503784,0.37908822298049927,2.581149101257324,2.6203482151031494,0.03968697786331177,15.027734756469727,15.418160438537598,17.273974508371033,0.525906118692319,-0.3241063541253772,0.5476829981511178,2.5645153522491455,1.0,0.0
3600.0,7.0,6.0,100.0,5.069589014663788,1.56284499168396,0.0007113207830116153,0.4619200825691223,0.0002135169634129852,1.0,1.0,1.0,0.03652051463723183,2.354567050933838,2.3812379837036133,0.09041037410497665,12.438244819641113,12.892004013061523,14.874636890962018,0.5542596828717261,-0.3102731843438923,0.5137631704752227,2.550009250640869,1.0,0.0
3800.0,7.0,20.0,300.0,4.981522292819053,1.8909945487976074,0.000726755359210074,0.7902421951293945,2.5655230274423957e-05,1.0,1.0,1.0,-7.722520351409912,2.8661739826202393,3.4698128700256348,0.013745339587330818,8.828356742858887,8.800747871398926,10.389987723643825,0.47429807777522465,-0.24134761138064528,0.32267855138953677,2.6882412433624268,1.0,0.0
4000.0,7.0,45.0,500.0,4.899310724827941,1.7928699254989624,0.0006741441902704537,0.6547946929931641,0.03740105777978897,1.0,1.0,1.0,-30.640207290649414,5.510774612426758,4.048238754272461,0.025965556502342224,9.088802337646484,8.428028106689453,8.569665224931432,0.34865189552711795,-0.04116848372338181,0.26303477618474147,2.4181125164031982,1.0,0.0
4200.0,8.0,3.0,200.0,4.831133841716136,1.4194622039794922,0.0007523706881329417,0.318641722202301,6.812204810557887e-05,1.0,1.0,1.0,8.575549125671387,3.1352672576904297,3.9362730979919434,0.06781867891550064,11.881210327148438,11.794201850891113,10.684432102184369,0.4676477466931874,0.42594611663819076,0.47606410581678105,2.2244184017181396,1.0,0.0
