step,episode_index,episode_return,episode_length,fps,model_loss,recon_loss,reward_loss,continue_loss,kl_loss,dynamics_kl_loss,representation_kl_loss,actor_loss,value_loss,repval_loss,slowreg_loss,imagined_return,value_pred,return_norm_mean,return_norm_std,adv_norm_mean,adv_norm_std,entropy,num_updates,train_budget
8000.0,15.0,500.0,500.0,5.7687939173493605,1.4675190448760986,0.0005365245742723346,0.366966187953949,1.6289373888866976e-05,1.0,1.0,1.0,3.0639195442199707,2.468930721282959,2.6701886653900146,0.32911810278892517,12.648526191711426,13.01722526550293,11.866784072628741,2.2694825492090254,8.399657913743313e-05,2.823315911904655,2.837832450866699,1.0,0.0
8200.0,16.0,199.0,200.0,5.756386611760669,1.7822688817977905,0.0007243221043609083,0.6814851760864258,5.938030517427251e-05,1.0,1.0,1.0,0.5519866943359375,1.8726834058761597,2.6556897163391113,0.037344612181186676,15.797008514404297,15.935063362121582,14.652489584320618,2.3310096305376358,-0.05748450107252694,3.289882348757863,2.837827205657959,1.0,0.0
8400.0,16.0,399.0,400.0,5.739493962501821,1.6345536708831787,0.0006763896672055125,0.5335776805877686,0.0002995383401867002,1.0,1.0,1.0,-0.6459599137306213,2.422025203704834,2.5942721366882324,0.09936358034610748,19.51721954345703,19.53209686279297,17.821550418795418,2.3432268682549684,-0.13683106357468872,4.752888529284895,2.8378195762634277,1.0,0.0
8500.0,16.0,499.0,500.0,5.725600691750955,1.6798510551452637,0.0006873563397675753,0.5786352157592773,0.0005283777136355639,1.0,1.0,1.0,0.6524540781974792,2.1885640621185303,2.7624425888061523,0.011444015428423882,20.54954719543457,20.830949783325195,19.19869285012857,2.2571909121015157,-0.15232400515324573,4.475286068194582,2.8378124237060547,1.0,0.0
8600.0,17.0,0.0,100.0,5.7129800401289375,1.7596595287322998,0.0006168985273689032,0.6588338613510132,0.00020879012299701571,1.0,1.0,1.0,-1.968719482421875,2.368091344833374,2.4699747562408447,0.026257812976837158,22.419519424438477,22.28057289123535,20.42325500087353,2.2978147290849593,-0.1749483637709008,3.9024092107923156,2.837811231613159,1.0,0.0
8800.0,17.0,0.0,300.0,5.703620863076574,1.7257404327392578,0.0005516551318578422,0.6249266862869263,0.0002622011234052479,1.0,1.0,1.0,-1.0980221033096313,2.371790647506714,2.7348952293395996,1.6315245628356934,22.36695671081543,22.511825561523438,21.94434190486654,1.908248729045871,-0.5621339763757386,8.576609543926574,2.8377833366394043,1.0,0.0
9000.0,17.0,0.0,500.0,5.691977235513898,1.6087837219238281,0.0006349306786432862,0.5081232786178589,2.541233698138967e-05,1.0,1.0,1.0,0.5891224145889282,2.684284210205078,2.9114577770233154,35.880977630615234,22.473079681396484,23.600505828857422,22.565155315421677,1.8188061442009462,-0.8121259368744564,14.137706732615596,2.8376665115356445,1.0,0.0
9200.0,18.0,0.0,200.0,5.684789956446586,1.6338720321655273,0.0006627042312175035,0.533104658126831,0.00010469874541740865,1.0,1.0,1.0,0.22958198189735413,2.002534866333008,2.447681427001953,4.5120768547058105,22.694091796875,23.595510482788086,22.4734466168108,1.9868401104624007,-0.8554663683151196,14.089193476249369,0.6121193170547485,1.0,0.0
9400.0,18.0,0.0,400.0,5.672818034292799,1.784199833869934,0.000681924750097096,0.6835086941719055,9.232663614966441e-06,1.0,1.0,1.0,0.5099983215332031,2.0915234088897705,2.545775890350342,2.425231695175171,21.689937591552734,23.138729095458984,22.007774965751402,2.042261030300976,-1.0709380768885448,17.079989513504323,0.6561614274978638,1.0,0.0
9500.0,18.0,0.0,500.0,5.662351486260799,1.974294900894165,0.0006749497260898352,0.8735182881355286,0.00010176760406466201,1.0,1.0,1.0,0.12914784252643585,2.015373706817627,3.0318610668182373,0.17018328607082367,20.363428115844727,21.474477767944336,21.512052811736297,1.9754759880205426,-1.0560095411237684,16.00404015130489,0.6072037220001221,1.0,0.0
9600.0,19.0,0.0,100.0,5.65050189144554,2.0055127143859863,0.0004862679052166641,0.9049745798110962,5.198676444706507e-05,1.0,1.0,1.0,0.6773284077644348,2.18137264251709,2.908590793609619,0.2714500427246094,20.110355377197266,21.464256286621094,20.85898681496253,1.9316899096787479,-0.9857971943055267,14.844454455837232,0.6085261702537537,1.0,0.0
9800.0,19.0,0.0,300.0,5.637961976103696,1.7933948040008545,0.0005418700748123229,0.6922950744628906,0.0005579881253652275,1.0,1.0,1.0,0.7556666731834412,2.5766067504882812,2.4899020195007324,31.154741287231445,19.15753746032715,20.826152801513672,19.766343927272217,1.837994414378261,-1.1053005286483504,17.311637734718605,0.6195052266120911,1.0,0.0
10000.0,19.0,0.0,500.0,5.624392974996632,1.8068342208862305,0.00046303030103445053,0.7063301801681519,4.10329012083821e-05,1.0,1.0,1.0,0.421948105096817,2.1313323974609375,2.575110673904419,2.2395710945129395,18.238754272460938,20.191852569580078,18.65087614943816,1.783989289171892,-1.488278026418846,24.035667507203936,0.6256973743438721,1.0,0.0
10200.0,20.0,0.0,200.0,5.600421398769618,1.979137659072876,0.0006450717337429523,0.878411591053009,8.097319368971512e-05,1.0,1.0,1.0,-1.5212430953979492,2.160987138748169,2.9301393032073975,4.102889060974121,17.167476654052734,18.91876792907715,17.68079907073611,1.6986094354248422,-2.0448800527284057,34.418472354410284,0.6453034281730652,1.0,0.0
10400.0,20.0,0.0,400.0,5.589137174939793,1.768593430519104,0.0005711708217859268,0.6679368019104004,8.537380199413747e-05,1.0,1.0,1.0,-1.322278380393982,1.9530967473983765,2.541694164276123,0.2677883207798004,17.03190803527832,18.937463760375977,17.160845264716638,1.8074810705089586,-1.825246362213839,31.39942962573621,0.611755907535553,1.0,0.0
10500.0,20.0,0.0,500.0,5.577609266783834,2.0573346614837646,0.0005245237844064832,0.9567089676856995,0.00010119902435690165,1.0,1.0,1.0,-1.4727519750595093,1.9663076400756836,3.1002790927886963,0.14533057808876038,16.006736755371094,18.351594924926758,16.75256167766874,1.8021844292297986,-2.138851244361122,36.046624022983444,0.6059216856956482,1.0,0.0
10600.0,21.0,0.0,100.0,5.567123373464098,1.74686598777771,0.0005066707381047308,0.6462559700012207,0.00010318304703105241,1.0,1.0,1.0,-1.3210994005203247,1.7924556732177734,2.514219284057617,2.7357797622680664,15.644115447998047,18.991403579711914,16.518181573161296,1.8884509719256386,-2.138401726487735,36.92795905795156,0.618607759475708,1.0,0.0
10800.0,21.0,0.0,300.0,5.552129126207363,1.8097467422485352,0.0005576291587203741,0.7091317772865295,5.7227909564971924e-05,1.0,1.0,1.0,-1.5582314729690552,2.175004720687866,2.7003543376922607,6.227585315704346,15.246060371398926,17.901611328125,15.606512046310263,1.7214251552391646,-2.633899174793648,43.74608024109693,0.6097236275672913,1.0,0.0
11000.0,21.0,0.0,500.0,5.538202259072816,1.5170183181762695,0.0006649532588198781,0.41625452041625977,9.880957077257335e-05,1.0,1.0,1.0,-1.402834177017212,3.598940372467041,2.390909194946289,86.7063217163086,14.94848918914795,17.931644439697266,15.102339049182286,1.5931701050795533,-3.0428858943990544,52.62161162933012,0.594295859336853,1.0,0.0
11200.0,22.0,0.0,200.0,5.525612137708646,1.728325605392456,0.0005915313959121704,0.6275529861450195,0.00018119547166861594,1.0,1.0,1.0,-1.539564609527588,3.0465848445892334,2.9517836570739746,44.403568267822266,14.448993682861328,18.132131576538086,14.455026918948247,1.4476887939594152,-4.157689609994211,70.53571110373568,0.6042097210884094,1.0,0.0
11400.0,22.0,0.0,400.0,5.512876326690401,2.009483575820923,0.0006149831460788846,0.9088581800460815,1.0417823432362638e-05,1.0,1.0,1.0,-1.4716840982437134,2.2167177200317383,3.5947351455688477,9.835860252380371,13.740701675415039,18.52908706665039,14.196282044652936,1.5455430643323167,-3.719378933307792,63.862156355660815,0.5951218605041504,1.0,0.0
11500.0,22.0,0.0,500.0,5.503268583896914,1.76906418800354,0.0005453475750982761,0.6683959364891052,0.00012288228026591241,1.0,1.0,1.0,-1.5203748941421509,2.7817230224609375,3.4133663177490234,33.713043212890625,14.492664337158203,18.135128021240234,14.042695022080647,1.5422909451344222,-4.06759997627265,69.61668481308124,0.5793138146400452,1.0,0.0
11600.0,23.0,0.0,100.0,5.492487653267236,1.6454660892486572,0.000676215800922364,0.5447742938995361,1.5534453268628567e-05,1.0,1.0,1.0,-1.42580246925354,2.863859176635742,2.507559299468994,50.55220031738281,13.812047958374023,17.482528686523438,13.970027947728493,1.5531621798417972,-4.220113244293839,72.47757117356761,0.5950061678886414,1.0,0.0
11800.0,23.0,0.0,300.0,5.480678542272693,1.746218204498291,0.0006759340758435428,0.6453564167022705,0.00018591582193039358,1.0,1.0,1.0,-1.4276319742202759,2.9251046180725098,3.2187321186065674,23.14694595336914,13.322042465209961,18.25935173034668,13.754626433050717,1.4660098735043292,-3.7515437893680925,64.30157042230397,0.5762240886688232,1.0,0.0
12000.0,23.0,0.0,500.0,5.469823866242681,1.5286617279052734,0.0006883119931444526,0.4277082085609436,0.00026517879450693727,1.0,1.0,1.0,-1.4519761800765991,2.2403674125671387,2.6508498191833496,13.809818267822266,13.554718971252441,18.030431747436523,13.535539531203435,1.5787540998645053,-4.681878837162417,79.09759678585822,0.578507661819458,1.0,0.0
12200.0,24.0,0.0,200.0,5.458266221251156,1.8064217567443848,0.0005895690410397947,0.7058098912239075,2.2350030121742748e-05,1.0,1.0,1.0,-1.5717772245407104,3.521918773651123,3.4420971870422363,66.80633544921875,12.48306941986084,17.59345817565918,12.906476523213506,1.2257364009798888,-4.574501628609933,74.34120653089747,0.5951809287071228,1.0,0.0
12400.0,24.0,0.0,400.0,5.442630388841409,1.8685985803604126,0.0006766681326553226,0.7677303552627563,0.00019155854533892125,1.0,1.0,1.0,-1.5893864631652832,2.1867282390594482,3.1203765869140625,8.913152694702148,12.771690368652344,16.42250633239746,12.703550016060262,1.325432161353686,-4.331532058595142,69.63477352663764,0.5813446640968323,1.0,0.0
12500.0,24.0,0.0,500.0,5.430653357264133,1.4280524253845215,0.0006213861634023488,0.32736438512802124,6.651419244008139e-05,1.0,1.0,1.0,-1.4955381155014038,3.7459006309509277,2.5986146926879883,80.58409881591797,12.293739318847656,18.073421478271484,12.678968389296866,1.4380145511459335,-4.465442371008564,72.05512637671902,0.5800655484199524,1.0,0.0
12600.0,25.0,0.0,100.0,5.420076765697214,1.7103385925292969,0.000577951199375093,0.6093704104423523,0.00039014985668472946,1.0,1.0,1.0,-1.5550081729888916,2.6798620223999023,3.148935556411743,15.527607917785645,11.86865520477295,17.526208877563477,12.336304294022545,1.3456758847306676,-5.128051511587499,79.64557191709069,0.5766074061393738,1.0,0.0
12800.0,25.0,0.0,300.0,5.404927290770274,1.270024061203003,0.0006469814688898623,0.16932761669158936,4.944219108438119e-05,1.0,1.0,1.0,-1.6568865776062012,2.966216564178467,2.2374110221862793,63.51734924316406,12.556559562683105,18.123411178588867,12.166698635378186,1.4929830073730241,-6.126220205024491,97.27227012481009,0.562781810760498,1.0,0.0
13000.0,25.0,0.0,500.0,5.3903936259965795,1.4610539674758911,0.0006672322633676231,0.35989952087402344,0.00048720656195655465,1.0,1.0,1.0,-1.662530779838562,2.352930784225464,2.8858261108398438,27.978160858154297,11.243316650390625,19.686302185058594,11.840293797765831,1.5742668313729267,-7.742678785486051,118.75959240703592,0.5716472864151001,1.0,0.0
13200.0,26.0,0.0,200.0,5.377070103976104,1.3936407566070557,0.0007196207297965884,0.2928900420665741,3.10936666210182e-05,1.0,1.0,1.0,-1.6305333375930786,2.199596405029297,2.3639464378356934,18.61608123779297,11.631146430969238,16.83112144470215,11.444171807798952,1.535304686489918,-7.418656766479926,113.10033605455169,0.5654855370521545,1.0,0.0
13400.0,26.0,0.0,400.0,5.364523309864738,1.4264070987701416,0.0006945535424165428,0.3253847658634186,0.0003277630312368274,1.0,1.0,1.0,-1.7852199077606201,2.6002657413482666,2.8334412574768066,36.28654861450195,10.480843544006348,17.34427261352539,10.85088055318139,1.1453834676384074,-6.8739954161589765,98.96082794715537,0.5841743350028992,1.0,0.0
