step,episode_index,episode_return,episode_length,fps,model_loss,recon_loss,reward_loss,continue_loss,kl_loss,dynamics_kl_loss,representation_kl_loss,actor_loss,value_loss,repval_loss,slowreg_loss,imagined_return,value_pred,return_norm_mean,return_norm_std,adv_norm_mean,adv_norm_std,entropy,num_updates,train_budget
200.0,0.0,0.0,200.0,42.047650349304035,,,,,,,,,,,,,,,,,,,,
400.0,0.0,0.0,400.0,38.878184284948276,,,,,,,,,,,,,,,,,,,,
500.0,0.0,0.0,500.0,38.287795306994106,,,,,,,,,,,,,,,,,,,,
600.0,1.0,0.0,100.0,38.29943651221336,,,,,,,,,,,,,,,,,,,,
800.0,1.0,0.0,300.0,37.98858242347506,,,,,,,,,,,,,,,,,,,,
1000.0,1.0,0.0,500.0,36.80556017468615,7.475368976593018,0.07605842500925064,5.606103420257568,0.6932076811790466,1.0,1.0,1.0,-0.010722578503191471,7.193138122558594,5.5122389793396,0.0,-0.027830345556139946,-0.027849966660141945,-0.027830345556139946,0.009324460393712389,-0.025530792772769928,0.01216052793869281,2.8378753662109375,1.0,0.0
